event_id,event_date,entity_id,event_type,severity,estimated_impact
EV0001,2026-01-01,AIF034,experiment,Low,50052
EV0002,2026-01-02,AIF008,qa_check,Medium,27277
EV0003,2026-01-03,AIF019,qa_check,Low,34975
EV0004,2026-01-04,AIF004,experiment,Medium,9065
EV0005,2026-01-05,AIF014,qa_check,Medium,33250
EV0006,2026-01-06,AIF024,launch,High,2183
EV0007,2026-01-07,AIF013,launch,High,13725
EV0008,2026-01-08,AIF029,qa_check,High,16931
EV0009,2026-01-09,AIF033,launch,Low,36227
EV0010,2026-01-10,AIF016,exception,Medium,39171
EV0011,2026-01-11,AIF036,qa_check,Medium,21527
EV0012,2026-01-12,AIF016,handoff,Medium,20770
EV0013,2026-01-13,AIF019,launch,Medium,39519
EV0014,2026-01-14,AIF018,exception,Medium,27762
EV0015,2026-01-15,AIF031,qa_check,Medium,34114
EV0016,2026-01-16,AIF019,handoff,Medium,31232
EV0017,2026-01-17,AIF034,stakeholder_request,High,14862
EV0018,2026-01-18,AIF004,experiment,Medium,10415
EV0019,2026-01-19,AIF015,experiment,Low,45781
EV0020,2026-01-20,AIF027,stakeholder_request,Low,7518
EV0021,2026-01-21,AIF014,qa_check,Low,31412
EV0022,2026-01-22,AIF024,experiment,Medium,31253
EV0023,2026-01-23,AIF004,launch,Medium,21095
EV0024,2026-01-24,AIF029,exception,Low,15098
EV0025,2026-01-25,AIF015,handoff,Low,1456
EV0026,2026-01-26,AIF013,qa_check,Medium,36272
EV0027,2026-01-27,AIF001,exception,Low,1121
EV0028,2026-01-28,AIF009,exception,Medium,22929
EV0029,2026-01-29,AIF024,handoff,High,44141
EV0030,2026-01-30,AIF008,launch,Low,31069
EV0031,2026-01-31,AIF033,handoff,Low,3640
EV0032,2026-02-01,AIF006,experiment,Low,9675
EV0033,2026-02-02,AIF031,qa_check,Low,25185
EV0034,2026-02-03,AIF027,exception,Medium,32556
EV0035,2026-02-04,AIF027,stakeholder_request,Low,26364
EV0036,2026-02-05,AIF007,experiment,Low,18425
EV0037,2026-02-06,AIF012,experiment,High,23598
EV0038,2026-02-07,AIF027,exception,Low,20680
EV0039,2026-02-08,AIF029,qa_check,Low,50156
EV0040,2026-02-09,AIF003,exception,High,5413
EV0041,2026-02-10,AIF003,launch,Low,25903
EV0042,2026-02-11,AIF009,qa_check,High,44639
EV0043,2026-02-12,AIF009,qa_check,Medium,42253
EV0044,2026-02-13,AIF027,experiment,Medium,49235
EV0045,2026-02-14,AIF016,launch,High,32353
EV0046,2026-02-15,AIF008,experiment,Low,20107
EV0047,2026-02-16,AIF003,experiment,Low,10977
EV0048,2026-02-17,AIF034,launch,Medium,45068
EV0049,2026-02-18,AIF001,experiment,High,8647
EV0050,2026-02-19,AIF013,stakeholder_request,Low,41445
EV0051,2026-02-20,AIF031,qa_check,Low,8962
EV0052,2026-02-21,AIF003,handoff,Medium,16891
EV0053,2026-02-22,AIF014,stakeholder_request,Low,43656
EV0054,2026-02-23,AIF001,exception,Medium,24428
EV0055,2026-02-24,AIF022,exception,Medium,33367
EV0056,2026-02-25,AIF004,experiment,Low,17700
EV0057,2026-02-26,AIF034,stakeholder_request,Low,43633
EV0058,2026-02-27,AIF034,stakeholder_request,High,18455
EV0059,2026-02-28,AIF022,experiment,High,29096
EV0060,2026-03-01,AIF010,qa_check,Medium,29731
EV0061,2026-03-02,AIF025,handoff,Low,44438
EV0062,2026-03-03,AIF003,qa_check,High,3775
EV0063,2026-03-04,AIF004,experiment,Medium,46519
EV0064,2026-03-05,AIF033,handoff,Medium,19174
EV0065,2026-03-06,AIF006,stakeholder_request,Medium,8754
EV0066,2026-03-07,AIF015,stakeholder_request,Medium,49203
EV0067,2026-03-08,AIF009,launch,High,38689
EV0068,2026-03-09,AIF012,stakeholder_request,Low,42396
EV0069,2026-03-10,AIF003,experiment,Medium,35308
EV0070,2026-03-11,AIF027,launch,Medium,6336
EV0071,2026-03-12,AIF032,launch,Low,19058
EV0072,2026-03-13,AIF021,exception,High,43158
EV0073,2026-03-14,AIF011,stakeholder_request,Medium,1586
EV0074,2026-03-15,AIF021,experiment,Low,27778
EV0075,2026-03-16,AIF010,stakeholder_request,Low,13202
EV0076,2026-03-17,AIF010,handoff,Medium,10334
EV0077,2026-03-18,AIF019,launch,Medium,30556
EV0078,2026-03-19,AIF029,exception,Low,3852
EV0079,2026-03-20,AIF036,qa_check,High,10536
EV0080,2026-03-21,AIF013,exception,Low,32628
EV0081,2026-03-22,AIF005,qa_check,Medium,30383
EV0082,2026-03-23,AIF024,exception,Low,29325
EV0083,2026-03-24,AIF028,exception,Low,19030
EV0084,2026-03-25,AIF002,stakeholder_request,Medium,44295
EV0085,2026-03-26,AIF004,exception,Low,6651
EV0086,2026-03-27,AIF018,launch,High,46120
EV0087,2026-03-28,AIF008,experiment,Low,16936
EV0088,2026-03-29,AIF016,qa_check,Low,34361
EV0089,2026-03-30,AIF024,launch,Low,14079
EV0090,2026-03-31,AIF016,exception,Low,1041
EV0091,2026-04-01,AIF024,handoff,High,7496
EV0092,2026-04-02,AIF020,launch,Medium,49836
EV0093,2026-04-03,AIF008,stakeholder_request,Low,5242
EV0094,2026-04-04,AIF018,experiment,Low,3489
EV0095,2026-04-05,AIF001,qa_check,Medium,22170
EV0096,2026-04-06,AIF034,experiment,Low,44441
EV0097,2026-04-07,AIF004,qa_check,Low,39788
EV0098,2026-04-08,AIF004,stakeholder_request,High,19681
EV0099,2026-04-09,AIF018,exception,Low,20851
EV0100,2026-04-10,AIF023,stakeholder_request,Medium,36318
