feature_id,feature_name,ai_method,eval_set,offline_quality_score,human_acceptance_rate,error_rate,fairness_gap_pp,p95_latency_ms,model_readiness,quality_decision
AIP004,Smart task decomposition,NLP planning assistant,Prompt following and extraction,82.4,82.8,8.2,2.8,1151,87.9,Launch monitor
AIP001,Daily resource planner,Recommendation system,Ranking relevance and novelty,78.8,92.3,6.4,3.0,1349,85.9,Launch monitor
AIP002,Entrepreneur launch checklist,NLP planning assistant,Prompt following and extraction,80.5,85.4,9.3,2.8,1269,85.7,Launch monitor
AIP007,Learning plan generator,Recommendation system,Ranking relevance and novelty,77.4,77.0,10.0,0.8,1203,82.4,Needs eval work
AIP008,Habit recovery coach,NLP coaching assistant,Prompt following and extraction,76.1,76.8,9.9,3.9,901,81.9,Launch monitor
AIP011,Translation context memory,NLP personalization,Prompt following and extraction,72.9,68.9,7.7,1.9,1307,78.9,Launch monitor
AIP003,Document to action extractor,NLP extraction,Prompt following and extraction,74.0,73.2,12.8,2.8,1459,78.4,Needs eval work
AIP005,Cross-app morning brief,Recommendation system,Ranking relevance and novelty,64.1,74.2,7.2,4.8,1338,77.1,Needs eval work
AIP010,Image based plant care planner,Computer vision,Image recognition and plan generation,62.7,75.1,10.6,0.2,1526,73.8,Needs eval work
AIP012,Design brief to asset plan,Generative assistant,Prompt following and extraction,61.9,73.9,8.8,2.7,1220,72.9,Needs eval work
AIP006,Receipt and budget deadline advisor,Classification and forecasting,Deadline and intent classification,61.7,77.4,8.9,5.7,1438,72.8,Needs eval work
AIP009,Secure password task reminders,Rules plus classification,Prompt following and extraction,65.2,66.4,7.0,2.3,1141,71.6,Needs eval work
