requirement_id,feature_id,feature_name,theme,persona,problem,user_story,acceptance_criteria,validation_plan,instrumentation,evidence_source,request_count,severity,prd_status
PRD-001,AIP001,Daily resource planner,Let users edit the plan,Busy professionals,"Users need one ranked plan that blends calendar pressure, tasks, document deadlines, and personal routines.","As a busy professionals, I want daily resource planner to explain and adjust its plan","Recommendation includes rationale, editable steps, confidence state, and a clear undo path.",Ship when lift clears threshold and guardrails stay within tolerance,Weekly planned task completion,Competitive teardown,16,High,Ready for grooming
PRD-003,AIP003,Document to action extractor,Handle ambiguous inputs,Mobile office users,"Scanned PDFs, receipts, and forms often contain dates and obligations that never become tasks.","As a mobile office users, I want document to action extractor to explain and adjust its plan","Recommendation includes rationale, editable steps, confidence state, and a clear undo path.",Ship when lift clears threshold and guardrails stay within tolerance,Extracted action acceptance,Competitive teardown,16,High,Privacy review
PRD-006,AIP006,Receipt and budget deadline advisor,Let users edit the plan,Household planners,"Users forget subscription renewals, bill dates, and reimbursement tasks after scanning receipts or invoices.","As a household planners, I want receipt and budget deadline advisor to explain and adjust its plan","Recommendation includes rationale, editable steps, confidence state, and a clear undo path.",Ship when lift clears threshold and guardrails stay within tolerance,Avoided missed deadline rate,App store review theme,16,High,Compliance review
PRD-004,AIP004,Smart task decomposition,Instrument outcome quality,Students and professionals,Large goals stall because users do not know the next concrete action or realistic sequence.,"As a students and professionals, I want smart task decomposition to explain and adjust its plan","Recommendation includes rationale, editable steps, confidence state, and a clear undo path.",Ship when lift clears threshold and guardrails stay within tolerance,Goal to first action rate,App store review theme,15,High,Ready for grooming
PRD-009,AIP009,Secure password task reminders,Explain the recommendation,Family admins,Users need privacy-preserving reminders for expiring credentials and shared account hygiene.,"As a family admins, I want secure password task reminders to explain and adjust its plan","Recommendation includes rationale, editable steps, confidence state, and a clear undo path.",Ship when lift clears threshold and guardrails stay within tolerance,Security task completion,In-app survey,15,High,Security review
PRD-008,AIP008,Habit recovery coach,Let users edit the plan,Habit builders,Users churn after broken streaks because the app does not help them recover without shame or overload.,"As a habit builders, I want habit recovery coach to explain and adjust its plan","Recommendation includes rationale, editable steps, confidence state, and a clear undo path.",Ship when lift clears threshold and guardrails stay within tolerance,Recovered streak rate,Competitive teardown,13,Medium,Content safety
PRD-005,AIP005,Cross-app morning brief,Explain the recommendation,Subscription power users,"Users miss value across apps because tasks, habits, documents, spend, and learning reminders are fragmented.","As a subscription power users, I want cross-app morning brief to explain and adjust its plan","Recommendation includes rationale, editable steps, confidence state, and a clear undo path.",Ship when lift clears threshold and guardrails stay within tolerance,Multi-app weekly engagement,Experiment note,12,High,Consent copy
PRD-007,AIP007,Learning plan generator,Let users edit the plan,Language learners,"Learners need an adaptive sequence that responds to weak skills, daily availability, and motivation dips.","As a language learners, I want learning plan generator to explain and adjust its plan","Recommendation includes rationale, editable steps, confidence state, and a clear undo path.",Ship when lift clears threshold and guardrails stay within tolerance,Seven day lesson streak,App store review theme,12,Medium,Ready for grooming
PRD-011,AIP011,Translation context memory,Ask consent before cross-app use,Travel and work users,"Repeated translations lose context when users move between travel, work, and learning situations.","As a travel and work users, I want translation context memory to explain and adjust its plan","Recommendation includes rationale, editable steps, confidence state, and a clear undo path.",Ship when lift clears threshold and guardrails stay within tolerance,Repeat translation satisfaction,User interview,12,Medium,Consent copy
PRD-002,AIP002,Entrepreneur launch checklist,Escalate low confidence outputs,Solo founders,"First-time builders need a practical sequence for market research, launch assets, and financial setup.","As a solo founders, I want entrepreneur launch checklist to explain and adjust its plan","Recommendation includes rationale, editable steps, confidence state, and a clear undo path.",Ship when lift clears threshold and guardrails stay within tolerance,Checklist activation rate,Experiment note,10,High,Ready for grooming
PRD-010,AIP010,Image based plant care planner,Handle ambiguous inputs,Home care users,Users can identify plants but need a care plan that turns recognition into reminders and supply lists.,"As a home care users, I want image based plant care planner to explain and adjust its plan","Recommendation includes rationale, editable steps, confidence state, and a clear undo path.",Ship when lift clears threshold and guardrails stay within tolerance,Care plan save rate,User interview,10,Medium,Model eval
PRD-012,AIP012,Design brief to asset plan,Handle ambiguous inputs,Small business creators,Creators can generate designs but struggle to convert campaign goals into an asset sequence.,"As a small business creators, I want design brief to asset plan to explain and adjust its plan","Recommendation includes rationale, editable steps, confidence state, and a clear undo path.",Ship when lift clears threshold and guardrails stay within tolerance,Asset plan completion,Competitive teardown,9,Medium,Brand safety
