feature_id,feature_name,domain,target_segment,ai_method,user_problem,primary_kpi,owner,roadmap_lane,sensitivity,launch_gate
AIP001,Daily resource planner,Productivity,Busy professionals,Recommendation system,"Users need one ranked plan that blends calendar pressure, tasks, document deadlines, and personal routines.",Weekly planned task completion,Product and ML,Now,Moderate,Experiment ready
AIP002,Entrepreneur launch checklist,Entrepreneurship,Solo founders,NLP planning assistant,"First-time builders need a practical sequence for market research, launch assets, and financial setup.",Checklist activation rate,Product and Design,Now,Moderate,PRD ready
AIP003,Document to action extractor,Documents,Mobile office users,NLP extraction,"Scanned PDFs, receipts, and forms often contain dates and obligations that never become tasks.",Extracted action acceptance,"Product, ML, and Data",Now,High,Privacy review
AIP004,Smart task decomposition,Productivity,Students and professionals,NLP planning assistant,Large goals stall because users do not know the next concrete action or realistic sequence.,Goal to first action rate,Product and Design,Now,Low,Experiment ready
AIP005,Cross-app morning brief,Ecosystem,Subscription power users,Recommendation system,"Users miss value across apps because tasks, habits, documents, spend, and learning reminders are fragmented.",Multi-app weekly engagement,Growth Product,Now,High,Consent copy
AIP006,Receipt and budget deadline advisor,Finance,Household planners,Classification and forecasting,"Users forget subscription renewals, bill dates, and reimbursement tasks after scanning receipts or invoices.",Avoided missed deadline rate,"Product, ML, and Compliance",Next,High,Compliance review
AIP007,Learning plan generator,Education,Language learners,Recommendation system,"Learners need an adaptive sequence that responds to weak skills, daily availability, and motivation dips.",Seven day lesson streak,Product and Data Science,Next,Low,Experiment ready
AIP008,Habit recovery coach,Wellness,Habit builders,NLP coaching assistant,Users churn after broken streaks because the app does not help them recover without shame or overload.,Recovered streak rate,Product and Design,Next,Moderate,Content safety
AIP009,Secure password task reminders,Security,Family admins,Rules plus classification,Users need privacy-preserving reminders for expiring credentials and shared account hygiene.,Security task completion,Security Product,Later,High,Security review
AIP010,Image based plant care planner,Utility,Home care users,Computer vision,Users can identify plants but need a care plan that turns recognition into reminders and supply lists.,Care plan save rate,Product and ML,Later,Low,Model eval
AIP011,Translation context memory,Communication,Travel and work users,NLP personalization,"Repeated translations lose context when users move between travel, work, and learning situations.",Repeat translation satisfaction,Product and ML,Next,Moderate,Consent copy
AIP012,Design brief to asset plan,Creative,Small business creators,Generative assistant,Creators can generate designs but struggle to convert campaign goals into an asset sequence.,Asset plan completion,Creative Product,Later,Moderate,Brand safety
