entity_id,entity_name,segment,owner
AIF001,AI feature 1,Growth,Customer
AIF002,AI feature 2,Strategic,Product
AIF003,AI feature 3,Watch,Product
AIF004,AI feature 4,Watch,Revenue
AIF005,AI feature 5,Strategic,Operations
AIF006,AI feature 6,Strategic,Customer
AIF007,AI feature 7,Watch,Analytics
AIF008,AI feature 8,Watch,Customer
AIF009,AI feature 9,Growth,Customer
AIF010,AI feature 10,Growth,Revenue
AIF011,AI feature 11,Strategic,Operations
AIF012,AI feature 12,Growth,Analytics
AIF013,AI feature 13,Growth,Analytics
AIF014,AI feature 14,Growth,Operations
AIF015,AI feature 15,Strategic,Revenue
AIF016,AI feature 16,Strategic,Product
AIF017,AI feature 17,Watch,Operations
AIF018,AI feature 18,Watch,Revenue
AIF019,AI feature 19,Strategic,Operations
AIF020,AI feature 20,Growth,Product
AIF021,AI feature 21,Growth,Analytics
AIF022,AI feature 22,Strategic,Product
AIF023,AI feature 23,Watch,Revenue
AIF024,AI feature 24,Core,Operations
AIF025,AI feature 25,Core,Product
AIF026,AI feature 26,Core,Product
AIF027,AI feature 27,Watch,Operations
AIF028,AI feature 28,Strategic,Product
AIF029,AI feature 29,Growth,Analytics
AIF030,AI feature 30,Core,Analytics
AIF031,AI feature 31,Watch,Analytics
AIF032,AI feature 32,Core,Operations
AIF033,AI feature 33,Growth,Revenue
AIF034,AI feature 34,Core,Revenue
AIF035,AI feature 35,Growth,Revenue
AIF036,AI feature 36,Core,Analytics
