feature_id,eval_set,ai_method,offline_quality_score,human_acceptance_rate,hallucination_or_error_rate,fairness_gap_pp,p95_latency_ms,model_readiness
AIP001,Ranking relevance and novelty,Recommendation system,78.8,92.3,6.4,3.0,1349,85.9
AIP002,Prompt following and extraction,NLP planning assistant,80.5,85.4,9.3,2.8,1269,85.7
AIP003,Prompt following and extraction,NLP extraction,74.0,73.2,12.8,2.8,1459,78.4
AIP004,Prompt following and extraction,NLP planning assistant,82.4,82.8,8.2,2.8,1151,87.9
AIP005,Ranking relevance and novelty,Recommendation system,64.1,74.2,7.2,4.8,1338,77.1
AIP006,Deadline and intent classification,Classification and forecasting,61.7,77.4,8.9,5.7,1438,72.8
AIP007,Ranking relevance and novelty,Recommendation system,77.4,77.0,10.0,0.8,1203,82.4
AIP008,Prompt following and extraction,NLP coaching assistant,76.1,76.8,9.9,3.9,901,81.9
AIP009,Prompt following and extraction,Rules plus classification,65.2,66.4,7.0,2.3,1141,71.6
AIP010,Image recognition and plan generation,Computer vision,62.7,75.1,10.6,0.2,1526,73.8
AIP011,Prompt following and extraction,NLP personalization,72.9,68.9,7.7,1.9,1307,78.9
AIP012,Prompt following and extraction,Generative assistant,61.9,73.9,8.8,2.7,1220,72.9
